win_va,ps_name,src,confidence,tier
0x00402231,get_city_mood,pcsound.c,fuzzy-targeted,3
0x0040266b,get_battle_mood,pcsound.c,compile-exact,1
0x00402888,choose_odd_tune,pcsound.c,compile-exact,1
0x004028cf,sooth_mood,pcsound.c,compile-exact,1
0x00402913,init_ss_entires,pcsound.c,compile-exact,1
0x00402959,get_new_sslot,pcsound.c,ordinal,2
0x00402a06,free_up_sslot,pcsound.c,compile-exact,1
0x00402a41,check_old_sslots,pcsound.c,compile-exact,1
0x00402abd,link_to_smacker,pcsound.c,ordinal,2
0x00402b01,allow_samples,pcsound.c,ordinal,2
0x00402b2a,set_this_ambient,pcsound.c,compile-exact,1
0x00402b4a,set_ambient_minimum,pcsound.c,compile-exact,1
0x00402b8b,set_city_ambient,pcsound.c,ordinal,2
0x00402e37,set_prov_ambient,pcsound.c,ordinal,2
0x00402f45,set_battle_death_fx,pcsound.c,compile-exact,1
0x00402fd9,set_battle_march_fx,pcsound.c,ordinal,2
0x00403094,set_battle_fight_fx,pcsound.c,compile-exact,1
0x004031ac,set_missile_fight_fx,pcsound.c,compile-exact,1
0x0040326c,set_missile_fire_fx,pcsound.c,compile-exact,1
0x0040332c,play_ambient_fx,pcsound.c,ordinal,2
0x004035c9,init_city_ambients,pcsound.c,compile-exact,1
0x00403999,init_prov_ambients,pcsound.c,compile-exact,1
0x00403cab,init_battle_ambients,pcsound.c,compile-exact,1
0x004040b0,citizen_intelligence,int_c2.c,compile-exact,1
0x004041f9,army_intelligence,int_c2.c,compile-exact,1
0x00404338,i00_null,int_c2.c,ordinal,2
0x00404343,i01_tax_man,int_c2.c,compile-exact,1
0x004043d8,i02_market_man,int_c2.c,compile-exact,1
0x0040446d,i03_barbarian_man,int_c2.c,compile-exact,1
0x00404519,i04_centurian_man,int_c2.c,compile-exact,1
0x004045ae,i05_vigile_man,int_c2.c,compile-exact,1
0x00404643,i06_business_man,int_c2.c,compile-exact,1
0x004046d8,i07_rioter_man,int_c2.c,compile-exact,1
0x004047b5,a00_null,int_c2.c,ordinal,2
0x004047c0,a01_cohort,int_c2.c,ordinal,2
0x0040493c,a02_enemy,int_c2.c,ordinal,2
0x004049b0,a04_raider,int_c2.c,win-order,2
0x00404976,a03_horde,int_c2.c,win-order,2
0x004049ea,a05_revolt,int_c2.c,compile-exact,1
0x00404a62,a06_roman_ship,int_c2.c,compile-exact,1
0x00404aac,a08_raider_ship,int_c2.c,win-order,2
0x00404a97,a07_enemy_ship,int_c2.c,win-order,2
0x00404ac1,s00_null,int_c2.c,ordinal,2
0x00404acc,s01_wait,int_c2.c,ordinal,2
0x00404bdc,s02_death,int_c2.c,ordinal,2
0x00404bf7,s03_map_admin,int_c2.c,ordinal,2
0x00404d45,s04_map_markets,int_c2.c,ordinal,2
0x00405005,s05_maraude_to_top_spot,int_c2.c,ordinal,2
0x00405143,s06_quell_trouble,int_c2.c,ordinal,2
0x0040543e,s07_army_patrol,int_c2.c,ordinal,2
0x00405711,s08_vigile_patrol,int_c2.c,ordinal,2
0x00405a0f,s09_fire_fight,int_c2.c,ordinal,2
0x00405c88,s10_get_business,int_c2.c,ordinal,2
0x00405f03,s11_riot,int_c2.c,ordinal,2
0x00406003,s12_goto_riot,int_c2.c,ordinal,2
0x004060cb,sa00_null,int_c2.c,ordinal,2
0x004060d6,sa01_wait,int_c2.c,ordinal,2
0x00406249,sa02_death,int_c2.c,ordinal,2
0x00406264,sa03_army_move,int_c2.c,ordinal,2
0x00406517,new_army_route_point,int_c2.c,ordinal,2
0x0040678c,goto_army_attack,int_c2.c,ordinal,2
0x004068ce,test_for_army_attack,int_c2.c,ordinal,2
0x00406c08,sa04_army_attack,int_c2.c,ordinal,2
0x00406db1,sa05_army_return,int_c2.c,ordinal,2
0x00406e42,sa06_army_land_raid,int_c2.c,ordinal,2
0x00406f66,sa07_army_land_invade,int_c2.c,ordinal,2
0x00406fdb,sa08_army_stuck,int_c2.c,ordinal,2
0x0040735d,sa09_army_siege,int_c2.c,ordinal,2
0x004075e1,sa10_army_demobed,int_c2.c,compile-exact,1
0x004077c2,sa11_army_sail_to_port,int_c2.c,ordinal,2
0x004078e5,sa12_army_sail_home,int_c2.c,compile-exact,1
0x00407c18,sa13_army_sail_round_coast,int_c2.c,ordinal,2
0x00408076,sa14_army_sail_to_shore,int_c2.c,ordinal,2
0x004081dc,sa15_sink,int_c2.c,ordinal,2
0x004083a5,sa16_army_lurk_round_coast,int_c2.c,ordinal,2
0x0040875d,get_movement_image,int_c2.c,compile-exact,1
0x0040889c,get_army_ship_image,int_c2.c,compile-exact,1
0x00408918,get_rioter_image,int_c2.c,compile-exact,1
0x00408aa0,get_barbarian_image,int_c2.c,ordinal,2
0x00408beb,get_enemy_image,int_c2.c,ordinal,2
0x00408d56,get_cohort_image,int_c2.c,ordinal,2
0x00408e82,get_army_walk_dirc,int_c2.c,ordinal,2
0x00408f06,find_enemy,int_c2.c,ordinal,2
0x0040910e,find_invading_army,int_c2.c,ordinal,2
0x00409336,citizen_go_to_target,int_c2.c,ordinal,2
0x00409815,citizen_maraude_to_target,int_c2.c,ordinal,2
0x00409ec7,get_dirc_from_citizen_wf_run,int_c2.c,ordinal,2
0x00409fb6,copy_ferret_run_to_citizen,int_c2.c,ordinal,2
0x0040a0c4,try_a_citymap_square,int_c2.c,ordinal,2
0x0040a4c0,try_this_citymap_square,int_c2.c,ordinal,2
0x0040a702,handle_collision,int_c2.c,ordinal,2
0x0040aa40,fight_centurian,int_c2.c,ordinal,2
0x0040aac6,fight_barbarian,int_c2.c,ordinal,2
0x0040ab44,move_citizen,int_c2.c,ordinal,2
0x0040af92,change_citizen_targs,int_c2.c,ordinal,2
0x0040b422,random_target,int_c2.c,compile-exact,1
