cd	path	size	mtime	sha256
Caesar II (Europe) (OEM)	INSTALL/WINUPD.EXE	134144	1995-08-26 17:08:42	aeb6cb385d12565274abd34cf4fda9a47ca27a0e7b12a6f0f53dda99ed918958
Caesar II (Europe) (OEM)	INSTALL/WINUPD16.EXE	53712	1995-08-23 15:50:24	5c60d07a3f5af962a817eee1f1debfe8be3581fb56a147e9c035d25c10b57ec0
Caesar II (Europe) (Rerelease) (1996-04-25)	INSTALL/WINUPD.EXE	134144	1995-08-26 17:08:42	aeb6cb385d12565274abd34cf4fda9a47ca27a0e7b12a6f0f53dda99ed918958
Caesar II (Europe) (Rerelease) (1996-04-25)	INSTALL/WINUPD16.EXE	53712	1995-08-23 15:50:24	5c60d07a3f5af962a817eee1f1debfe8be3581fb56a147e9c035d25c10b57ec0
Caesar II (Europe) (Rerelease) (1997-09-12)	C2WIN95/HD/CAESAR2.EXE	1044480	1996-08-28 17:53:48	caca2babb57d9450d8d500b51ffaa4c037b25c8fa0326d43002a281a7ba69f58
Caesar II (Europe) (Rerelease) (1997-09-12)	C2WIN95/HD/SMACKW32.DLL	61952	1996-01-16 17:09:02	1bceeb7d56fdb8f5d59c7d4ba893bd8779358c68d597a27b640f42771a12cc3c
Caesar II (Europe) (Rerelease) (1997-09-12)	C2WIN95/HD/WAIL32.DLL	135680	1996-04-17 02:48:16	1a9c8bf6fe5e08f8e28e80eb10b21b5b53f934fdda1dc28728961350d817b61e
Caesar II (Europe) (Rerelease) (1997-09-12)	INSTALL/WINUPD.EXE	134144	1995-08-26 17:08:42	aeb6cb385d12565274abd34cf4fda9a47ca27a0e7b12a6f0f53dda99ed918958
Caesar II (Europe) (Rerelease) (1997-09-12)	INSTALL/WINUPD16.EXE	53712	1995-08-23 15:50:24	14484a328005abc249f60b544d993142d9c32ae473cedc9b2e304be34a9c15e6
Caesar II (Germany) (Rerelease) (1996-12-18) (Alt)	C2WIN95/HD/CAESAR2.EXE	1059840	1996-12-09 13:35:58	f719cdc7a8dcf954b2c6dcb5d1b1aad81fba511e8753d94441f99101c53eb61d
Caesar II (Germany) (Rerelease) (1996-12-18) (Alt)	C2WIN95/HD/SMACKW32.DLL	61952	1996-01-16 17:09:02	1bceeb7d56fdb8f5d59c7d4ba893bd8779358c68d597a27b640f42771a12cc3c
Caesar II (Germany) (Rerelease) (1996-12-18) (Alt)	C2WIN95/HD/WAIL32.DLL	135680	1996-04-17 02:48:16	1a9c8bf6fe5e08f8e28e80eb10b21b5b53f934fdda1dc28728961350d817b61e
Caesar II (Germany) (Rerelease) (1996-12-18) (Alt)	INSTALL/WINUPD.EXE	134144	1995-08-26 17:08:42	aeb6cb385d12565274abd34cf4fda9a47ca27a0e7b12a6f0f53dda99ed918958
Caesar II (Germany) (Rerelease) (1996-12-18) (Alt)	INSTALL/WINUPD16.EXE	53712	1995-08-23 15:50:24	14484a328005abc249f60b544d993142d9c32ae473cedc9b2e304be34a9c15e6
Caesar II (Germany) (Rerelease) (1996-12-18)	C2WIN95/HD/CAESAR2.EXE	1059840	1996-12-09 13:35:58	f719cdc7a8dcf954b2c6dcb5d1b1aad81fba511e8753d94441f99101c53eb61d
Caesar II (Germany) (Rerelease) (1996-12-18)	C2WIN95/HD/SMACKW32.DLL	61952	1996-01-16 17:09:02	1bceeb7d56fdb8f5d59c7d4ba893bd8779358c68d597a27b640f42771a12cc3c
Caesar II (Germany) (Rerelease) (1996-12-18)	C2WIN95/HD/WAIL32.DLL	135680	1996-04-17 02:48:16	1a9c8bf6fe5e08f8e28e80eb10b21b5b53f934fdda1dc28728961350d817b61e
Caesar II (Germany) (Rerelease) (1996-12-18)	INSTALL/WINUPD.EXE	134144	1995-08-26 17:08:42	aeb6cb385d12565274abd34cf4fda9a47ca27a0e7b12a6f0f53dda99ed918958
Caesar II (Germany) (Rerelease) (1996-12-18)	INSTALL/WINUPD16.EXE	53712	1995-08-23 15:50:24	14484a328005abc249f60b544d993142d9c32ae473cedc9b2e304be34a9c15e6
Caesar II (Italy) (Covermount)	C2WIN95/HD/CAESAR2.EXE	1044480	1996-08-28 15:53:48	caca2babb57d9450d8d500b51ffaa4c037b25c8fa0326d43002a281a7ba69f58
Caesar II (Italy) (Covermount)	C2WIN95/HD/SMACKW32.DLL	61952	1996-01-16 15:09:02	1bceeb7d56fdb8f5d59c7d4ba893bd8779358c68d597a27b640f42771a12cc3c
Caesar II (Italy) (Covermount)	C2WIN95/HD/WAIL32.DLL	135680	1996-04-17 00:48:16	1a9c8bf6fe5e08f8e28e80eb10b21b5b53f934fdda1dc28728961350d817b61e
Caesar II (Italy) (Covermount)	INSTALL/WINUPD.EXE	134144	1995-08-26 15:08:42	aeb6cb385d12565274abd34cf4fda9a47ca27a0e7b12a6f0f53dda99ed918958
Caesar II (Italy) (Covermount)	INSTALL/WINUPD16.EXE	53712	1995-08-23 13:50:24	14484a328005abc249f60b544d993142d9c32ae473cedc9b2e304be34a9c15e6
Caesar II (Italy) (Covermount)	Patch/C2WINPCH.EXE	417101	1999-02-05 09:40:00	50d5c95a6d2143ea2924775892848d4b9be4dc7441814d9ddef23456a0536bb3
Caesar II (USA) (Rerelease) (1996-08-29)	C2WIN95/HD/CAESAR2.EXE	1044480	1996-08-28 12:38:48	caca2babb57d9450d8d500b51ffaa4c037b25c8fa0326d43002a281a7ba69f58
Caesar II (USA) (Rerelease) (1996-08-29)	C2WIN95/HD/SMACKW32.DLL	61952	1996-01-16 11:54:02	1bceeb7d56fdb8f5d59c7d4ba893bd8779358c68d597a27b640f42771a12cc3c
Caesar II (USA) (Rerelease) (1996-08-29)	C2WIN95/HD/WAIL32.DLL	135680	1996-04-16 21:33:16	1a9c8bf6fe5e08f8e28e80eb10b21b5b53f934fdda1dc28728961350d817b61e
Caesar II (USA) (Rerelease) (1996-08-29)	INSTALL/WINUPD.EXE	134144	1995-08-26 11:53:42	aeb6cb385d12565274abd34cf4fda9a47ca27a0e7b12a6f0f53dda99ed918958
Caesar II (USA) (Rerelease) (1996-08-29)	INSTALL/WINUPD16.EXE	53712	1995-08-23 10:35:24	14484a328005abc249f60b544d993142d9c32ae473cedc9b2e304be34a9c15e6
Caesar II (USA) (Rerelease) (1997-03-10)	C2WIN95/HD/CAESAR2.EXE	1060864	1997-02-28 14:39:28	af6401537c103290bf5cdbd205621f01c4d88f0a25c28584fd7c70e19f84dd01
Caesar II (USA) (Rerelease) (1997-03-10)	C2WIN95/HD/SMACKW32.DLL	61952	1996-01-16 17:09:02	1bceeb7d56fdb8f5d59c7d4ba893bd8779358c68d597a27b640f42771a12cc3c
Caesar II (USA) (Rerelease) (1997-03-10)	C2WIN95/HD/WAIL32.DLL	135680	1996-04-17 02:48:16	1a9c8bf6fe5e08f8e28e80eb10b21b5b53f934fdda1dc28728961350d817b61e
Caesar II (USA) (Rerelease) (1997-03-10)	INSTALL/WINUPD.EXE	134144	1995-08-26 17:08:42	aeb6cb385d12565274abd34cf4fda9a47ca27a0e7b12a6f0f53dda99ed918958
Caesar II (USA) (Rerelease) (1997-03-10)	INSTALL/WINUPD16.EXE	53712	1995-08-23 15:50:24	14484a328005abc249f60b544d993142d9c32ae473cedc9b2e304be34a9c15e6
Caesar II (USA) (Rerelease) (1997-11-12)	C2WIN95/HD/CAESAR2.EXE	1060864	1997-02-28 14:39:28	af6401537c103290bf5cdbd205621f01c4d88f0a25c28584fd7c70e19f84dd01
